img_path,orientation
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0501M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0501M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0501M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0501M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0501M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0502M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0502M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0502M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0502M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0502M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0503M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0503M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0503M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0503M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0503M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0504M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0504M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0504M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0504M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0504M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0505M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0505M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0505M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0505M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0505M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0506M000P00A1.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0506M000P00A2.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0506M000P00A3.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0506M000P00A4.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0506M000P00A5.jpg,Rotate 0
C:\work\Engineer_Big_Data_Analysis\data\old2\K-Deep-Fashion\패션 액세서리 착용 데이터\원천데이터\제품\귀걸이\KAER0507M000P00A1.jpg,Rotate 0
